Name,Location
RCCG Grace Sanctuary 127,"Kano, Kano, Nigeria"
RCCG Dominion Chapel 128,"Maitama, FCT, Nigeria"
RCCG Power House Parish 129,"Zaria, Kaduna, Nigeria"
RCCG City of Glory 130,"Abuja, FCT, Nigeria"
RCCG Victory Assembly 131,"Abeokuta, Ogun, Nigeria"
RCCG Victory Assembly 132,"Onitsha, Anambra, Nigeria"
RCCG Living Faith Parish 133,"Ogbomosho, Oyo, Nigeria"
RCCG Dominion Chapel 134,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 135,"Port Harcourt, Rivers, Nigeria"
RCCG House of Praise 136,"Ijebu Ode, Ogun, Nigeria"
RCCG Redemption Parish 137,"Asaba, Delta, Nigeria"
RCCG Power House Parish 138,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 139,"Awka, Anambra, Nigeria"
RCCG Victory Assembly 140,"Kaduna, Kaduna, Nigeria"
RCCG Victory Assembly 141,"Lekki, Lagos, Nigeria"
RCCG City of Glory 142,"Ogbomosho, Oyo, Nigeria"
RCCG Power House Parish 143,"Warri, Delta, Nigeria"
RCCG New Life Parish 144,"Nsukka, Enugu, Nigeria"
RCCG Redemption Parish 145,"Surulere, Lagos, Nigeria"
RCCG House of Praise 146,"Zaria, Kaduna, Nigeria"
RCCG Redemption Parish 147,"Warri, Delta, Nigeria"
RCCG New Life Parish 148,"Nsukka, Enugu, Nigeria"
RCCG New Life Parish 149,"Kaduna, Kaduna, Nigeria"
RCCG Grace Sanctuary 150,"Ikorodu, Lagos, Nigeria"
RCCG New Life Parish 151,"Ibadan, Oyo, Nigeria"
RCCG House of Praise 152,"Gwarinpa, FCT, Nigeria"
RCCG Living Faith Parish 153,"Onitsha, Anambra, Nigeria"
RCCG Power House Parish 154,"Onitsha, Anambra, Nigeria"
RCCG Grace Sanctuary 155,"Enugu, Enugu, Nigeria"
RCCG Redemption Parish 156,"Nsukka, Enugu, Nigeria"
RCCG Dominion Chapel 157,"Warri, Delta, Nigeria"
RCCG Power House Parish 158,"Warri, Delta, Nigeria"
RCCG New Life Parish 159,"Nsukka, Enugu, Nigeria"
RCCG Grace Sanctuary 160,"Obio-Akpor, Rivers, Nigeria"
RCCG Victory Assembly 161,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 162,"Ogbomosho, Oyo, Nigeria"
RCCG Power House Parish 163,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 164,"Gwale, Kano, Nigeria"
RCCG Living Faith Parish 165,"Port Harcourt, Rivers, Nigeria"
RCCG New Life Parish 166,"Onitsha, Anambra, Nigeria"
RCCG City of Glory 167,"Zaria, Kaduna, Nigeria"
RCCG City of Glory 168,"Obio-Akpor, Rivers, Nigeria"
RCCG Grace Sanctuary 169,"Abuja, FCT, Nigeria"
RCCG House of Praise 170,"Obio-Akpor, Rivers, Nigeria"
RCCG Grace Sanctuary 171,"Kaduna, Kaduna, Nigeria"
RCCG Power House Parish 172,"Gwale, Kano, Nigeria"
RCCG Power House Parish 173,"Gwale, Kano, Nigeria"
RCCG Dominion Chapel 174,"Awka, Anambra, Nigeria"
RCCG Victory Assembly 175,"Ibadan, Oyo, Nigeria"
RCCG Redemption Parish 176,"Onitsha, Anambra, Nigeria"
RCCG Dominion Chapel 177,"Abuja, FCT, Nigeria"
RCCG Redemption Parish 178,"Ibadan, Oyo, Nigeria"
RCCG Dominion Chapel 179,"Kaduna, Kaduna, Nigeria"
RCCG City of Glory 180,"Zaria, Kaduna, Nigeria"
RCCG Living Faith Parish 181,"Enugu, Enugu, Nigeria"
RCCG Power House Parish 182,"Abeokuta, Ogun, Nigeria"
RCCG House of Praise 183,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 184,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 185,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 186,"Enugu, Enugu, Nigeria"
RCCG Grace Sanctuary 187,"Awka, Anambra, Nigeria"
RCCG City of Glory 188,"Obio-Akpor, Rivers, Nigeria"
RCCG Grace Sanctuary 189,"Zaria, Kaduna, Nigeria"
RCCG House of Praise 190,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 191,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 192,"Asaba, Delta, Nigeria"
RCCG Grace Sanctuary 193,"Nsukka, Enugu, Nigeria"
RCCG New Life Parish 194,"Ijebu Ode, Ogun, Nigeria"
RCCG Power House Parish 195,"Warri, Delta, Nigeria"
RCCG Power House Parish 196,"Yaba, Lagos, Nigeria"
RCCG Grace Sanctuary 197,"Gwale, Kano, Nigeria"
RCCG Power House Parish 198,"Kubwa, FCT, Nigeria"
RCCG City of Glory 199,"Wuse, FCT, Nigeria"
RCCG Grace Sanctuary 200,"Gwarinpa, FCT, Nigeria"
RCCG City of Glory 201,"Fagge, Kano, Nigeria"
RCCG Power House Parish 202,"Ogbomosho, Oyo, Nigeria"
RCCG Power House Parish 203,"Warri, Delta, Nigeria"
RCCG New Life Parish 204,"Abeokuta, Ogun, Nigeria"
RCCG City of Glory 205,"Gwale, Kano, Nigeria"
RCCG Grace Sanctuary 206,"Nsukka, Enugu, Nigeria"
RCCG City of Glory 207,"Lekki, Lagos, Nigeria"
RCCG Grace Sanctuary 208,"Nassarawa, Kano, Nigeria"
RCCG New Life Parish 209,"Ibadan, Oyo, Nigeria"
RCCG Power House Parish 210,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 211,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 212,"Onitsha, Anambra, Nigeria"
RCCG Power House Parish 213,"Awka, Anambra, Nigeria"
RCCG Power House Parish 214,"Ogbomosho, Oyo, Nigeria"
RCCG New Life Parish 215,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 216,"Gwale, Kano, Nigeria"
RCCG Power House Parish 217,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 218,"Obio-Akpor, Rivers, Nigeria"
RCCG Redemption Parish 219,"Abeokuta, Ogun, Nigeria"
RCCG City of Glory 220,"Kubwa, FCT, Nigeria"
RCCG New Life Parish 221,"Ogbomosho, Oyo, Nigeria"
RCCG House of Praise 222,"Onitsha, Anambra, Nigeria"
RCCG House of Praise 223,"Nassarawa, Kano, Nigeria"
RCCG Victory Assembly 224,"Ogbomosho, Oyo, Nigeria"
RCCG New Life Parish 225,"Asaba, Delta, Nigeria"
RCCG House of Praise 226,"Abeokuta, Ogun, Nigeria"
RCCG Redemption Parish 227,"Awka, Anambra, Nigeria"
RCCG Grace Sanctuary 228,"Zaria, Kaduna, Nigeria"
RCCG House of Praise 229,"Nsukka, Enugu, Nigeria"
RCCG Dominion Chapel 230,"Maitama, FCT, Nigeria"
RCCG New Life Parish 231,"Gwale, Kano, Nigeria"
RCCG City of Glory 232,"Ijebu Ode, Ogun, Nigeria"
RCCG Living Faith Parish 233,"Gwale, Kano, Nigeria"
RCCG House of Praise 234,"Ogbomosho, Oyo, Nigeria"
RCCG Dominion Chapel 235,"Fagge, Kano, Nigeria"
RCCG Redemption Parish 236,"Obio-Akpor, Rivers, Nigeria"
RCCG New Life Parish 237,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 238,"Fagge, Kano, Nigeria"
RCCG Victory Assembly 239,"Ikeja, Lagos, Nigeria"
RCCG City of Glory 240,"Enugu, Enugu, Nigeria"
RCCG House of Praise 241,"Asaba, Delta, Nigeria"
RCCG House of Praise 242,"Obio-Akpor, Rivers, Nigeria"
RCCG House of Praise 243,"Ogbomosho, Oyo, Nigeria"
RCCG Living Faith Parish 244,"Kaduna, Kaduna, Nigeria"
RCCG Living Faith Parish 245,"Lekki, Lagos, Nigeria"
RCCG Dominion Chapel 246,"Awka, Anambra, Nigeria"
RCCG Victory Assembly 247,"Onitsha, Anambra, Nigeria"
RCCG Grace Sanctuary 248,"Abuja, FCT, Nigeria"
RCCG Living Faith Parish 249,"Kaduna, Kaduna, Nigeria"
RCCG Power House Parish 250,"Zaria, Kaduna, Nigeria"
RCCG Victory Assembly 251,"Zaria, Kaduna, Nigeria"
RCCG Redemption Parish 252,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 253,"Gwarinpa, FCT, Nigeria"
RCCG Power House Parish 254,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 255,"Ikeja, Lagos, Nigeria"
RCCG Power House Parish 256,"Ogbomosho, Oyo, Nigeria"
RCCG Power House Parish 257,"Lekki, Lagos, Nigeria"
RCCG Victory Assembly 258,"Fagge, Kano, Nigeria"
RCCG Victory Assembly 259,"Nsukka, Enugu, Nigeria"
RCCG Living Faith Parish 260,"Awka, Anambra, Nigeria"
RCCG Power House Parish 261,"Onitsha, Anambra, Nigeria"
RCCG Redemption Parish 262,"Gwale, Kano, Nigeria"
RCCG New Life Parish 263,"Onitsha, Anambra, Nigeria"
RCCG Grace Sanctuary 264,"Fagge, Kano, Nigeria"
RCCG New Life Parish 265,"Enugu, Enugu, Nigeria"
RCCG City of Glory 266,"Enugu, Enugu, Nigeria"
RCCG House of Praise 267,"Zaria, Kaduna, Nigeria"
RCCG Living Faith Parish 268,"Asaba, Delta, Nigeria"
RCCG Dominion Chapel 269,"Kubwa, FCT, Nigeria"
RCCG Living Faith Parish 270,"Obio-Akpor, Rivers, Nigeria"
RCCG House of Praise 271,"Zaria, Kaduna, Nigeria"
RCCG Victory Assembly 272,"Warri, Delta, Nigeria"
RCCG City of Glory 273,"Gwale, Kano, Nigeria"
RCCG New Life Parish 274,"Yaba, Lagos, Nigeria"
RCCG Grace Sanctuary 275,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 276,"Fagge, Kano, Nigeria"
RCCG Living Faith Parish 277,"Warri, Delta, Nigeria"
RCCG Living Faith Parish 278,"Abeokuta, Ogun, Nigeria"
RCCG House of Praise 279,"Kubwa, FCT, Nigeria"
RCCG Dominion Chapel 280,"Nassarawa, Kano, Nigeria"
RCCG Victory Assembly 281,"Maitama, FCT, Nigeria"
RCCG Power House Parish 282,"Onitsha, Anambra, Nigeria"
RCCG Dominion Chapel 283,"Abuja, FCT, Nigeria"
RCCG Victory Assembly 284,"Zaria, Kaduna, Nigeria"
RCCG New Life Parish 285,"Ijebu Ode, Ogun, Nigeria"
RCCG Redemption Parish 286,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 287,"Onitsha, Anambra, Nigeria"
RCCG New Life Parish 288,"Surulere, Lagos, Nigeria"
RCCG Dominion Chapel 289,"Yaba, Lagos, Nigeria"
RCCG Redemption Parish 290,"Ibadan, Oyo, Nigeria"
RCCG Grace Sanctuary 291,"Yaba, Lagos, Nigeria"
RCCG Redemption Parish 292,"Ikeja, Lagos, Nigeria"
RCCG Redemption Parish 293,"Kano, Kano, Nigeria"
RCCG Living Faith Parish 294,"Ikorodu, Lagos, Nigeria"
RCCG House of Praise 295,"Kaduna, Kaduna, Nigeria"
RCCG Living Faith Parish 296,"Ibadan, Oyo, Nigeria"
RCCG Redemption Parish 297,"Yaba, Lagos, Nigeria"
RCCG Living Faith Parish 298,"Fagge, Kano, Nigeria"
RCCG Grace Sanctuary 299,"Ikeja, Lagos, Nigeria"
RCCG New Life Parish 300,"Asaba, Delta, Nigeria"
RCCG Grace Sanctuary 301,"Ikeja, Lagos, Nigeria"
RCCG Living Faith Parish 302,"Obio-Akpor, Rivers, Nigeria"
RCCG Redemption Parish 303,"Enugu, Enugu, Nigeria"
RCCG Living Faith Parish 304,"Abuja, FCT, Nigeria"
RCCG Grace Sanctuary 305,"Warri, Delta, Nigeria"
RCCG City of Glory 306,"Asaba, Delta, Nigeria"
RCCG Dominion Chapel 307,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 308,"Onitsha, Anambra, Nigeria"
RCCG Grace Sanctuary 309,"Onitsha, Anambra, Nigeria"
RCCG City of Glory 310,"Abeokuta, Ogun, Nigeria"
RCCG Redemption Parish 311,"Ogbomosho, Oyo, Nigeria"
RCCG House of Praise 312,"Onitsha, Anambra, Nigeria"
RCCG City of Glory 313,"Nassarawa, Kano, Nigeria"
RCCG Victory Assembly 314,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 315,"Abeokuta, Ogun, Nigeria"
RCCG Grace Sanctuary 316,"Kaduna, Kaduna, Nigeria"
RCCG Dominion Chapel 317,"Zaria, Kaduna, Nigeria"
RCCG House of Praise 318,"Ibadan, Oyo, Nigeria"
RCCG Power House Parish 319,"Ijebu Ode, Ogun, Nigeria"
RCCG Redemption Parish 320,"Lekki, Lagos, Nigeria"
RCCG Redemption Parish 321,"Awka, Anambra, Nigeria"
RCCG Redemption Parish 322,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 323,"Ogbomosho, Oyo, Nigeria"
RCCG Grace Sanctuary 324,"Awka, Anambra, Nigeria"
RCCG Dominion Chapel 325,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 326,"Fagge, Kano, Nigeria"
RCCG House of Praise 327,"Warri, Delta, Nigeria"
RCCG Power House Parish 328,"Surulere, Lagos, Nigeria"
RCCG House of Praise 329,"Awka, Anambra, Nigeria"
RCCG Power House Parish 330,"Ikeja, Lagos, Nigeria"
RCCG City of Glory 331,"Abeokuta, Ogun, Nigeria"
RCCG Redemption Parish 332,"Onitsha, Anambra, Nigeria"
RCCG Victory Assembly 333,"Abeokuta, Ogun, Nigeria"
RCCG Living Faith Parish 334,"Enugu, Enugu, Nigeria"
RCCG New Life Parish 335,"Enugu, Enugu, Nigeria"
RCCG Redemption Parish 336,"Gwale, Kano, Nigeria"
RCCG Redemption Parish 337,"Gwale, Kano, Nigeria"
RCCG New Life Parish 338,"Port Harcourt, Rivers, Nigeria"
RCCG Redemption Parish 339,"Ijebu Ode, Ogun, Nigeria"
RCCG Victory Assembly 340,"Wuse, FCT, Nigeria"
RCCG Dominion Chapel 341,"Enugu, Enugu, Nigeria"
RCCG City of Glory 342,"Ibadan, Oyo, Nigeria"
RCCG Victory Assembly 343,"Kano, Kano, Nigeria"
RCCG Victory Assembly 344,"Wuse, FCT, Nigeria"
RCCG City of Glory 345,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 346,"Kano, Kano, Nigeria"
RCCG Power House Parish 347,"Gwale, Kano, Nigeria"
RCCG Grace Sanctuary 348,"Port Harcourt, Rivers, Nigeria"
RCCG House of Praise 349,"Obio-Akpor, Rivers, Nigeria"
RCCG Victory Assembly 350,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 351,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 352,"Yaba, Lagos, Nigeria"
RCCG House of Praise 353,"Awka, Anambra, Nigeria"
RCCG Grace Sanctuary 354,"Warri, Delta, Nigeria"
RCCG Grace Sanctuary 355,"Warri, Delta, Nigeria"
RCCG Victory Assembly 356,"Asaba, Delta, Nigeria"
RCCG New Life Parish 357,"Wuse, FCT, Nigeria"
RCCG Dominion Chapel 358,"Enugu, Enugu, Nigeria"
RCCG Power House Parish 359,"Kubwa, FCT, Nigeria"
RCCG Power House Parish 360,"Ikorodu, Lagos, Nigeria"
RCCG Grace Sanctuary 361,"Nsukka, Enugu, Nigeria"
RCCG Grace Sanctuary 362,"Abeokuta, Ogun, Nigeria"
RCCG Dominion Chapel 363,"Nsukka, Enugu, Nigeria"
RCCG Living Faith Parish 364,"Kaduna, Kaduna, Nigeria"
RCCG New Life Parish 365,"Wuse, FCT, Nigeria"
RCCG New Life Parish 366,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 367,"Awka, Anambra, Nigeria"
RCCG Victory Assembly 368,"Maitama, FCT, Nigeria"
RCCG Grace Sanctuary 369,"Abeokuta, Ogun, Nigeria"
RCCG Living Faith Parish 370,"Ikorodu, Lagos, Nigeria"
RCCG New Life Parish 371,"Ibadan, Oyo, Nigeria"
RCCG Dominion Chapel 372,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 373,"Kaduna, Kaduna, Nigeria"
RCCG Redemption Parish 374,"Ibadan, Oyo, Nigeria"
RCCG Grace Sanctuary 375,"Warri, Delta, Nigeria"
RCCG New Life Parish 376,"Kubwa, FCT, Nigeria"
RCCG House of Praise 377,"Kano, Kano, Nigeria"
RCCG Living Faith Parish 378,"Ibadan, Oyo, Nigeria"
RCCG Redemption Parish 379,"Ibadan, Oyo, Nigeria"
RCCG Dominion Chapel 380,"Abuja, FCT, Nigeria"
RCCG Power House Parish 381,"Warri, Delta, Nigeria"
RCCG New Life Parish 382,"Enugu, Enugu, Nigeria"
RCCG Power House Parish 383,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 384,"Nassarawa, Kano, Nigeria"
RCCG Power House Parish 385,"Surulere, Lagos, Nigeria"
RCCG City of Glory 386,"Abuja, FCT, Nigeria"
RCCG Victory Assembly 387,"Ibadan, Oyo, Nigeria"
RCCG Victory Assembly 388,"Abeokuta, Ogun, Nigeria"
RCCG House of Praise 389,"Maitama, FCT, Nigeria"
RCCG Redemption Parish 390,"Port Harcourt, Rivers, Nigeria"
RCCG New Life Parish 391,"Ijebu Ode, Ogun, Nigeria"
RCCG Power House Parish 392,"Asaba, Delta, Nigeria"
RCCG Redemption Parish 393,"Enugu, Enugu, Nigeria"
RCCG Grace Sanctuary 394,"Warri, Delta, Nigeria"
RCCG Living Faith Parish 395,"Gwarinpa, FCT, Nigeria"
RCCG Living Faith Parish 396,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 397,"Awka, Anambra, Nigeria"
RCCG House of Praise 398,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 399,"Obio-Akpor, Rivers, Nigeria"
RCCG Grace Sanctuary 400,"Ibadan, Oyo, Nigeria"
RCCG Living Faith Parish 401,"Zaria, Kaduna, Nigeria"
RCCG Victory Assembly 402,"Ogbomosho, Oyo, Nigeria"
RCCG Power House Parish 403,"Ibadan, Oyo, Nigeria"
RCCG Living Faith Parish 404,"Obio-Akpor, Rivers, Nigeria"
RCCG Victory Assembly 405,"Warri, Delta, Nigeria"
RCCG Redemption Parish 406,"Onitsha, Anambra, Nigeria"
RCCG City of Glory 407,"Nassarawa, Kano, Nigeria"
RCCG New Life Parish 408,"Ibadan, Oyo, Nigeria"
RCCG Redemption Parish 409,"Abuja, FCT, Nigeria"
RCCG Grace Sanctuary 410,"Enugu, Enugu, Nigeria"
RCCG City of Glory 411,"Lekki, Lagos, Nigeria"
RCCG City of Glory 412,"Obio-Akpor, Rivers, Nigeria"
RCCG Living Faith Parish 413,"Lekki, Lagos, Nigeria"
RCCG City of Glory 414,"Ogbomosho, Oyo, Nigeria"
RCCG New Life Parish 415,"Kubwa, FCT, Nigeria"
RCCG City of Glory 416,"Warri, Delta, Nigeria"
RCCG City of Glory 417,"Kaduna, Kaduna, Nigeria"
RCCG City of Glory 418,"Fagge, Kano, Nigeria"
RCCG New Life Parish 419,"Port Harcourt, Rivers, Nigeria"
RCCG Power House Parish 420,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 421,"Kaduna, Kaduna, Nigeria"
RCCG House of Praise 422,"Zaria, Kaduna, Nigeria"
RCCG House of Praise 423,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 424,"Warri, Delta, Nigeria"
RCCG Grace Sanctuary 425,"Ibadan, Oyo, Nigeria"
RCCG Power House Parish 426,"Ibadan, Oyo, Nigeria"
RCCG Power House Parish 427,"Awka, Anambra, Nigeria"
RCCG City of Glory 428,"Ogbomosho, Oyo, Nigeria"
RCCG City of Glory 429,"Kaduna, Kaduna, Nigeria"
RCCG Grace Sanctuary 430,"Nassarawa, Kano, Nigeria"
